PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,SEASON,POSITION,POS_EST,GAMES,MIN,DEF_POSS,RIM BLKS/75,BLKS/75,RIM CONTEST/75,%RIM_CONTEST,%BLK_RATE_CONTEST,OPP_RIM_FREQ_ON,OPP_RIM_FG_ON,OPP_RIM_FREQ_ON-OFF,OPP_RIM_FG_ON-OFF,RA_FREQ,OPP_RA_FGA/75,PAINT_NO_RA_FREQ,OPP_PAINT_NO_RA_FGA/75,PAINT_W_RA_FREQ,OPP_PAINT_W_RA_FGA/75,SEASON_ABRV
2570,Kendrick Perkins,OKC,29.0,2013-14,C,5.0,62.0,1207.0,2375.0,0.5,1.0,4.4,18.2,12.3,35.0,55.00000000000001,2.6999999999999957,-2.499999999999986,35.2,24.0,13.1,8.9,48.2,32.9,2013
202702,Kenneth Faried,DEN,24.0,2013-14,F-C,4.89,80.0,2178.0,4451.0,1.0,1.2,5.1,21.8,19.0,34.699999999999996,62.2,3.299999999999997,4.400000000000006,34.8,23.2,15.1,10.0,49.9,33.2,2013
2030,Kenyon Martin,NYK,36.0,2013-14,F,4.63,32.0,633.0,1184.0,1.3,1.7,4.4,20.5,28.6,33.2,60.9,-0.3999999999999986,-0.8000000000000043,33.5,21.6,12.3,7.9,45.7,29.5,2013
201142,Kevin Durant,OKC,25.0,2013-14,F,4.27,81.0,3122.0,6262.0,0.4,0.7,2.1,9.6,16.9,33.6,56.10000000000001,2.3000000000000007,-3.29999999999999,33.7,22.1,12.9,8.5,46.7,30.6,2013
708,Kevin Garnett,BKN,38.0,2013-14,F,4.01,53.0,1090.0,2031.0,1.0,1.4,5.5,29.6,17.4,27.900000000000002,56.00000000000001,-7.199999999999992,-6.099999999999994,28.2,18.6,15.1,9.9,43.3,28.5,2013
201567,Kevin Love,MIN,25.0,2013-14,F-C,4.03,77.0,2797.0,5758.0,0.3,0.5,6.0,29.1,4.8,31.5,66.7,-2.3000000000000043,5.600000000000001,31.6,20.7,14.8,9.7,46.4,30.3,2013
202338,Kevin Seraphin,WAS,24.0,2013-14,F-C,4.51,53.0,578.0,1103.0,1.5,1.8,6.3,35.8,23.7,29.2,56.49999999999999,-1.6000000000000014,-6.500000000000007,29.2,17.7,18.3,11.1,47.5,28.8,2013
201585,Kosta Koufos,MEM,25.0,2013-14,C,5.0,80.0,1349.0,2525.0,1.5,2.1,6.7,33.5,23.1,29.9,56.99999999999999,-0.1999999999999993,-5.400000000000006,30.0,19.9,17.2,11.4,47.2,31.4,2013
2743,Kris Humphries,BOS,29.0,2013-14,F,4.55,69.0,1376.0,2650.0,1.5,1.7,7.2,32.1,21.1,34.2,58.599999999999994,-0.8999999999999915,-4.400000000000006,34.5,22.6,14.4,9.5,48.9,32.0,2013
203124,Kyle O'Quinn,ORL,24.0,2013-14,C-F,4.9,69.0,1188.0,2354.0,1.5,2.8,5.9,31.1,25.0,28.599999999999998,59.3,-1.7000000000000028,-3.700000000000003,28.8,18.8,13.8,9.0,42.6,27.8,2013
